"filename", "language", "TypeScript", "vue", "SCSS", "JSON with Comments", "JSON", "Markdown", "HTML", "XML", "comment", "blank", "total"
"/Users/baoji/Documents/VUE/fc-admin/src/directives/modules/time.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 6, 4, 33
"/Users/baoji/Documents/VUE/fc-admin/src/directives/modules/waterMarker.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 11, 2, 35
"/Users/baoji/Documents/VUE/fc-admin/src/layout/components/navMenu.vue", "vue", 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"/Users/baoji/Documents/VUE/fc-admin/src/layout/components/sideM.vue", "vue", 0, 91, 0, 0, 0, 0, 0, 0, 0, 15, 106
"/Users/baoji/Documents/VUE/fc-admin/src/layout/components/tags.vue", "vue", 0, 331, 0, 0, 0, 0, 0, 0, 0, 38, 369
"/Users/baoji/Documents/VUE/fc-admin/src/layout/components/topbar.vue", "vue", 0, 47, 0, 0, 0, 0, 0, 0, 0, 9, 56
"/Users/baoji/Documents/VUE/fc-admin/src/layout/components/userbar.vue", "vue", 0, 308, 0, 0, 0, 0, 0, 0, 0, 28, 336
"/Users/baoji/Documents/VUE/fc-admin/src/layout/index.vue", "vue", 0, 175, 0, 0, 0, 0, 0, 0, 1, 19, 195
"/Users/baoji/Documents/VUE/fc-admin/src/layout/layoutDefault/index.vue", "vue", 0, 96, 0, 0, 0, 0, 0, 0, 0, 7, 103
"/Users/baoji/Documents/VUE/fc-admin/src/layout/layoutDock/index.vue", "vue", 0, 58, 0, 0, 0, 0, 0, 0, 0, 4, 62
"/Users/baoji/Documents/VUE/fc-admin/src/layout/layoutHeader/index.vue", "vue", 0, 87, 0, 0, 0, 0, 0, 0, 0, 5, 92
"/Users/baoji/Documents/VUE/fc-admin/src/layout/layoutMenu/index.vue", "vue", 0, 72, 0, 0, 0, 0, 0, 0, 0, 4, 76
"/Users/baoji/Documents/VUE/fc-admin/src/layout/other/404.vue", "vue", 0, 61, 0, 0, 0, 0, 0, 0, 0, 10, 71
"/Users/baoji/Documents/VUE/fc-admin/src/layout/other/empty.vue", "vue", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/baoji/Documents/VUE/fc-admin/src/layout/views/search.vue", "vue", 0, 176, 0, 0, 0, 0, 0, 0, 0, 22, 198
"/Users/baoji/Documents/VUE/fc-admin/src/layout/views/setting.vue", "vue", 0, 249, 0, 0, 0, 0, 0, 0, 0, 33, 282
"/Users/baoji/Documents/VUE/fc-admin/src/layout/views/tasks.vue", "vue", 0, 126, 0, 0, 0, 0, 0, 0, 1, 14, 141
"/Users/baoji/Documents/VUE/fc-admin/src/locale/index.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/baoji/Documents/VUE/fc-admin/src/locale/lang/en.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"/Users/baoji/Documents/VUE/fc-admin/src/locale/lang/zh-cn.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"/Users/baoji/Documents/VUE/fc-admin/src/main.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"/Users/baoji/Documents/VUE/fc-admin/src/models/authModel.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 14, 5, 55
"/Users/baoji/Documents/VUE/fc-admin/src/models/departmentModel.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"/Users/baoji/Documents/VUE/fc-admin/src/models/menu.d.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 16, 1, 39
"/Users/baoji/Documents/VUE/fc-admin/src/models/tableModel.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 2, 18
"/Users/baoji/Documents/VUE/fc-admin/src/router/index.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 23, 15, 109
"/Users/baoji/Documents/VUE/fc-admin/src/router/model.d.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 11, 2, 29
"/Users/baoji/Documents/VUE/fc-admin/src/router/modules/1setting.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/baoji/Documents/VUE/fc-admin/src/router/modules/2about.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/baoji/Documents/VUE/fc-admin/src/router/modules/system.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 2, 1, 43
"/Users/baoji/Documents/VUE/fc-admin/src/store/index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/baoji/Documents/VUE/fc-admin/src/store/modules/auth.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/baoji/Documents/VUE/fc-admin/src/store/modules/menu.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/baoji/Documents/VUE/fc-admin/src/store/modules/search.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/baoji/Documents/VUE/fc-admin/src/store/securels.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/baoji/Documents/VUE/fc-admin/src/store/system/global.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 9, 1, 32
"/Users/baoji/Documents/VUE/fc-admin/src/store/system/keepAlive.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/Users/baoji/Documents/VUE/fc-admin/src/store/system/viewTags.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/baoji/Documents/VUE/fc-admin/src/style/app.scss", "SCSS", 0, 0, 373, 0, 0, 0, 0, 0, 9, 73, 455
"/Users/baoji/Documents/VUE/fc-admin/src/style/dark.scss", "SCSS", 0, 0, 30, 0, 0, 0, 0, 0, 6, 7, 43
"/Users/baoji/Documents/VUE/fc-admin/src/style/fix.scss", "SCSS", 0, 0, 219, 0, 0, 0, 0, 0, 3, 57, 279
"/Users/baoji/Documents/VUE/fc-admin/src/style/media.scss", "SCSS", 0, 0, 114, 0, 0, 0, 0, 0, 1, 30, 145
"/Users/baoji/Documents/VUE/fc-admin/src/style/pages.scss", "SCSS", 0, 0, 150, 0, 0, 0, 0, 0, 4, 35, 189
"/Users/baoji/Documents/VUE/fc-admin/src/style/style.scss", "SCSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/baoji/Documents/VUE/fc-admin/src/utils/color.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 4, 2, 28
"/Users/baoji/Documents/VUE/fc-admin/src/utils/compress.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 19, 4, 71
"/Users/baoji/Documents/VUE/fc-admin/src/utils/encryption.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 3, 2, 39
"/Users/baoji/Documents/VUE/fc-admin/src/utils/menuRoute.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 22, 5, 82
"/Users/baoji/Documents/VUE/fc-admin/src/utils/time.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 6, 0, 50
"/Users/baoji/Documents/VUE/fc-admin/src/utils/uuid.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 4, 1, 32
"/Users/baoji/Documents/VUE/fc-admin/src/views/about/index.vue", "vue", 0, 86, 0, 0, 0, 0, 0, 0, 0, 4, 90
"/Users/baoji/Documents/VUE/fc-admin/src/views/home/index.vue", "vue", 0, 208, 0, 0, 0, 0, 0, 0, 0, 18, 226
"/Users/baoji/Documents/VUE/fc-admin/src/views/login/components/commonPage.vue", "vue", 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/baoji/Documents/VUE/fc-admin/src/views/login/components/passwordForm.vue", "vue", 0, 113, 0, 0, 0, 0, 0, 0, 0, 11, 124
"/Users/baoji/Documents/VUE/fc-admin/src/views/login/components/phoneForm.vue", "vue", 0, 85, 0, 0, 0, 0, 0, 0, 0, 11, 96
"/Users/baoji/Documents/VUE/fc-admin/src/views/login/index.vue", "vue", 0, 358, 0, 0, 0, 0, 0, 0, 0, 52, 410
"/Users/baoji/Documents/VUE/fc-admin/src/views/login/resetPassword.vue", "vue", 0, 121, 0, 0, 0, 0, 0, 0, 0, 11, 132
"/Users/baoji/Documents/VUE/fc-admin/src/views/login/userRegister.vue", "vue", 0, 166, 0, 0, 0, 0, 0, 0, 0, 10, 176
